Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Манная каша вязкая, по 1-276;100;2,2;2,9;16,4
Манная крупа;333;10,3;1;70,6
Манная крупа, необогащенная;360;12,68;1,05;68,93
Манная крупа, обогащенная;360;12,68;1,05;68,93
Мука из зародышей пшеницы;335;33,8;7,7;32,7
Мука из сорго;357;9,53;1,24;74,95
Мука из сорго, цельнозерновая;359;8,43;3,34;70,04
Мука из тритикале;338;13,18;1,81;58,54
Овес, зерно;316;10;6,2;55,1
Овес, зерно сухое;389;16,89;6,9;55,67
Овсяная каша быстрого приготовления (растворимая) с изюмом и специями, приготовленная на воде;88;1,98;0,95;16,61
Овсяная каша быстрого приготовления (растворимая) с корицей и специями, приготовленная на воде;96;2,37;1,21;16,95
Овсяная каша быстрого приготовления (растворимая) с корицей и специями, сухая;369;9,53;4,84;68,08
Овсяная каша быстрого приготовления (растворимая), приготовленная на воде;68;2,37;1,36;9,97
Овсяная каша быстрого приготовления (растворимая), с кленовым и коричневым сахаром, сухая;386;9,25;4,73;69,47
Овсяная каша быстрого приготовления (растворимая), сухая;362;11,92;6,9;59,52
Овсяная каша жидкая, приготовленная на воде, без соли;71;2,54;1,52;10,3
Овсяная каша жидкая, приготовленная на воде, с солью;71;2,54;1,52;10,3
Овсяная каша из хлопьев «Геркулес», по 1-280;105;2,4;4;14,8
Овсяная каша, по 1-280;109;2,6;4,1;15,5
Овсяная крупа;379;13,15;6,52;57,6
Овсяная крупа;342;12,3;6,1;59,5
Овсяная мука;369;13;6,8;64,9
Овсяная мука с отрубями;404;14,66;9,12;59,2
Овсянка быстрорастворимая с корицей, сухая (произв: The Quaker Oats, Co.);369;10,39;5,1;66,32
Овсяные отруби;246;17,3;7,03;50,82
Овсяные отруби, приготовленные;40;3,21;0,86;8,84
"Овсяные хлопья ""геркулес""";352;12,3;6,2;61,8
Паста (макароны, спагетти)  из кукурузной муки, безглютеновые, приготовленные;126;2,63;0,73;23,11
Паста (макароны, спагетти) без яиц, домашняя, приготовленная;124;4,37;0,98;25,12
Паста (макароны, спагетти) из коричневой рисовой муки, безглютеновая, приготовленная;138;3,46;1,67;30,5
Паста (макароны, спагетти) из кукурузной и рисовой муки, безглютеновая, приготовленная;179;3,2;1;36,65
Паста (макароны, спагетти) из кукурузной муки и муки киноа, безглютеновая, приготовленная;152;3,23;2,07;27,81
Паста (макароны, спагетти) из кукурузной муки, безглютеновые;357;7,46;2,08;68,26
Паста (макароны, спагетти) из рисовой муки с экстрактом из рисовых отрубей, безглютеновая, приготовленная;200;4,21;1,7;38,85
Паста (макароны, спагетти) из цельнозерновой муки, приготовленная;149;5,99;1,71;26,17
Паста (макароны, спагетти) из цельнозерновой муки, сухая;352;13,87;2,93;64,17
Паста (макароны, спагетти) яичная, домашняя, приготовленная;130;5,28;1,74;23,54
Паста (макароны, спагетти), обогащенные, приготовленные без соли;158;5,8;0,93;29,06
Паста (макароны, спагетти), обогащенные, приготовленные с солью;157;5,8;0,93;28,79
Паста (макароны, спагетти), обогащенные, сухие;371;13,04;1,51;71,47
Паста (макароны, спагетти), приготовленная без соли;158;5,8;0,93;29,06
Паста (макароны, спагетти), приготовленная с солью;157;5,8;0,93;28,79
Паста (макароны, спагетти), свежезамороженная, неприготовленная;288;11,31;2,3;54,73
Паста (макароны, спагетти), свежезамороженная, приготовленная;131;5,15;1,05;24,93
Паста (макароны, спагетти), свежезамороженная, со шпинатом, неприготовленная;289;11,26;2,1;55,72
Паста (макароны, спагетти), свежезамороженная, со шпинатом, приготовленная;130;5,06;0,94;25,04
Паста (макароны, спагетти), сухая;371;13,04;1,51;71,47
Перловая каша по 1-270;135;2,9;3,5;22,9
Перловая крупа;315;9,3;1,1;66,9
Перловая крупа;352;9,91;1,16;62,12
Перловая крупа, приготовленная;123;2,26;0,44;24,42
Полба (спельта), неприготовленная;338;14,57;2,43;59,49
Полба (спельта), приготовленная;127;5,5;0,85;22,54
Просо, зерно продовольственное;298;11,2;3,9;54,6
Пудинг рисовый по 1-292;202;5,6;5,7;32
Пшеница мягкая белозёрная;340;10,69;1,99;62,66
Пшеница мягкая краснозёрная озимая;331;10,35;1,56;61,74
Пшеница мягкая, зерно;305;11,8;2,2;59,5
Пшеница проросшая;198;7,49;1,27;41,43
Пшеница стекловидная белозёрная;342;11,31;1,71;63,7
Пшеница стекловидная краснозёрная озимая;327;12,61;1,54;58,98
Пшеница стекловидная краснозёрная яровая;329;15,4;1,92;55,83
Пшеница твердая, зерно;339;13,68;2,47;71,13
Пшеница твердая, зерно;304;13;2,5;57,5
Пшеничная каша жидкая, проготовленная на воде, без соли;62;2;0,4;12,1
Пшеничная каша жидкая, проготовленная на воде, с солью;62;2;0,4;12,1
Пшеничная каша рассыпчатая из крупы «Полтавская», по 1-272;153;4,4;3,6;25,7
Пшеничная клейковина (глютен);370;75,16;1,85;13,19
Пшеничная крупа;342;11,2;2;65,7
"Пшеничная крупа ""Артек""";329;11;1,2;68,5
